site_id,study_id,country_id,site_name,city,activation_date,status
SITE-0001,CRC-GLB-301,IND,Nagpur Cancer Institute,Nagpur,2024-10-16,Active
SITE-0002,CRC-GLB-301,IND,Sambalpur Oncology Center,Sambalpur,2023-04-25,Active
SITE-0003,CRC-GLB-301,IND,Kolhapur Comprehensive Cancer Center,Kolhapur,2023-01-26,Active
SITE-0004,CRC-GLB-301,IND,Bongaigaon Regional Cancer Hospital,Bongaigaon,2023-10-09,Active
SITE-0005,CRC-GLB-301,IND,Gudivada Medical Center - Oncology Unit,Gudivada,2023-09-08,Active
SITE-0006,CRC-GLB-301,IND,Patna University Cancer Hospital,Patna,2023-08-17,Active
SITE-0007,CRC-GLB-301,IND,Tiruchirappalli General Hospital - Oncology Wing,Tiruchirappalli,2023-05-23,Active
SITE-0008,CRC-GLB-301,IND,Muzaffarpur Specialist Cancer Clinic,Muzaffarpur,2023-04-15,Active
SITE-0009,CRC-GLB-301,SGP,North Judithbury Cancer Institute,North Judithbury,2024-11-23,Active
SITE-0010,CRC-GLB-301,SGP,East Jill Oncology Center,East Jill,2024-07-12,Active
SITE-0011,CRC-GLB-301,SGP,New Roberttown Comprehensive Cancer Center,New Roberttown,2023-03-31,Active
SITE-0012,CRC-GLB-301,SGP,East Jessetown Regional Cancer Hospital,East Jessetown,2024-08-27,Active
SITE-0013,CRC-GLB-301,SGP,Lake Debra Medical Center - Oncology Unit,Lake Debra,2024-03-08,Active
SITE-0014,CRC-GLB-301,SGP,Robinsonshire University Cancer Hospital,Robinsonshire,2023-02-02,Active
SITE-0015,CRC-GLB-301,SGP,Lisatown General Hospital - Oncology Wing,Lisatown,2023-01-31,Active
SITE-0016,CRC-GLB-301,SGP,Lake Roberto Specialist Cancer Clinic,Lake Roberto,2023-04-06,Active
SITE-0017,CRC-GLB-301,USA,Ericmouth Cancer Institute,Ericmouth,2023-08-12,Active
SITE-0018,CRC-GLB-301,USA,North Noahstad Oncology Center,North Noahstad,2023-08-27,Active
SITE-0019,CRC-GLB-301,USA,Cassandraton Comprehensive Cancer Center,Cassandraton,2024-06-01,Active
SITE-0020,CRC-GLB-301,USA,Herrerafurt Regional Cancer Hospital,Herrerafurt,2024-09-08,Active
